1	X は Y です	L1-1
1	Question sentences (か)	L1-2
1	noun の noun	L1-3
1	Numbers / Time	L1-U
2	これ/それ/あれ/どれ	L2-1
2	この/その/あの/どの	L2-2
2	ここ/そこ/あそこ/どこ	L2-3
2	だれの	L2-4
2	も	L2-5
2	じゃないです (negative of です)	L2-6
2	ね / よ	L2-7
2	Please (をください/おねがいします/どうぞ)	L2-E
3	Verb conjugation (ru/u/irregular)	L3-1
3	Verb present tense (long forms)	L3-2
3	Particles は/で/に/へ/を	L3-3
3	Time references	L3-4
3	ませんか (invitation)	L3-5
3	Frequency adverbs	L3-6
3	Word order	L3-7
3	Topic particle は	L3-8
4	Xがあります/います	L4-1
4	Location words (うえ/した/まえ/うしろ/なか/となり/あいだ/ちかく)	L4-2
4	Past tense of です (でした/じゃなかったです)	L4-3
4	Past tense of verbs (ました/ませんでした)	L4-4
4	も	L4-5
4	〜時間 (hours)	L4-6
4	たくさん	L4-7
4	と (and / together with)	L4-8
4	Days/weeks/months/years	L4-U
5	Adjectives (い-adj and な-adj)	L5-1
5	Adjective past tense	L5-2
5	Adjectives modifying nouns	L5-3
5	好き(な)/嫌い(な)	L5-4
5	〜ましょう/〜ましょうか (let's)	L5-5
5	Counting (ひとつ, ふたつ …)	L5-6
6	Te-form	L6-1
6	〜てください (please)	L6-1
6	Describing two activities with te-form	L6-3
6	〜てもいいです (may)	L6-4
6	〜てはいけません (must not)	L6-5
6	から (because)	L6-6
6	〜ましょうか (offering assistance)	L6-7
7	〜ている (action in progress)	L7-1
7	〜ている (result of a change)	L7-2
7	Describing body parts with が	L7-3
7	Te-form of adjectives / connecting adjectives	L7-4
7	(verb stem) に行く	L7-5
7	Counting people (〜人)	L7-6
7	Kinship terms	L7-C
8	Short forms (casual present)	L8-1
8	Informal speech	L8-2
8	〜と思います	L8-3
8	〜と言っていました	L8-4
8	〜ないでください (please don't)	L8-5
8	(verb) のが好き, etc.	L8-6
8	が (subject particle)	L8-7
8	なにか/なにも	L8-8
9	Past tense short forms	L9-1
9	Informal speech (past)	L9-2
9	〜と思います (past short form)	L9-3
9	〜と言っていました	L9-4
9	Qualifying nouns with verbs (noun modification)	L9-5
9	もう/まだ	L9-6
9	から (because)	L9-7
10	Comparison (〜のほうが〜より)	L10-1
10	いちばん (superlative)	L10-2
10	の (one)	L10-3
10	つもりだ (intend to)	L10-4
10	形容詞 + なる (become)	L10-5
10	どこかに/どこにも	L10-6
10	で (by means of)	L10-7
11	〜たい (want to)	L11-1
11	〜たり〜たりする	L11-2
11	〜ことがある (past experience)	L11-3
11	や (and, non-exhaustive listing)	L11-4
12	〜んです	L12-1
12	〜すぎる (too much)	L12-2
12	〜ほうがいいです (had better)	L12-3
12	ので (because)	L12-4
12	〜なければいけません/〜なきゃいけません (must)	L12-5
12	〜でしょうか	L12-6
