13	Potential Verbs	L13-1
13	〜し	L13-2
13	〜そうです (It looks like ...)	L13-3
13	〜てみる	L13-4
13	なら	L13-5
13	一週間に三回 (frequency per period)	L13-6
14	ほしい	L14-1
14	〜かもしれません	L14-2
14	あげる/くれる/もらう	L14-3
14	〜たらどうですか	L14-4
14	Number + も / Number + しか + Negative	L14-5
15	Volitional Form	L15-1
15	Volitional Form + と思っています	L15-2
15	〜ておく	L15-3
15	Using Sentences to Qualify Nouns	L15-4
16	〜てあげる/てくれる/てもらう	L16-1
16	〜ていただけませんか	L16-2
16	〜といい	L16-3
16	〜時	L16-4
16	〜てすみませんでした	L16-5
17	〜そうです (I hear)	L17-1
17	〜って	L17-2
17	〜たら	L17-3
17	〜なくてもいいです	L17-4
17	〜みたいです	L17-5
17	〜前に / 〜てから	L17-6
18	Transitivity Pairs	L18-1
18	Paired Intransitive Verbs + ている	L18-2
18	〜てしまう	L18-3
18	〜と (conditional)	L18-4
18	〜ながら	L18-5
18	〜ばよかったです	L18-6
19	Honorific Verbs	L19-1
19	Giving Respectful Advice	L19-2
19	〜てくれてありがとう	L19-3
19	〜てよかったです	L19-4
19	〜はずです	L19-5
20	Extra-modest Expressions	L20-1
20	Humble Expressions	L20-2
20	〜ないで	L20-3
20	Questions within Larger Sentences	L20-4
20	Name という Item	L20-5
20	〜やすい / 〜にくい	L20-6
21	Passive Sentences	L21-1
21	〜てある	L21-2
21	〜間に	L21-3
21	Adjective + する	L21-4
21	〜てほしい	L21-5
22	Causative Sentences	L22-1
22	Causative + てあげる/てくれる/てもらう	L22-2
22	Verb Stem + なさい	L22-3
22	〜ば	L22-4
22	〜のに	L22-5
22	〜のように / 〜のような	L22-6
23	Causative-passive Sentences	L23-1
23	〜ても	L23-2
23	〜ことにする	L23-3
23	〜ことにしている	L23-4
23	〜まで	L23-5
23	〜方 (way of doing)	L23-6
